ID,Title,View,Favorite,Like,Dislike,Reply,Share,Coin,Dynamic,View URL
31258050,【崩坏.星穹铁道】究竟是谁对穹下的手,136372,4386,3020,0,81,98,25,0,https://www.bilibili.com/read/cv31258050
31945697,【蔚蓝档案】只是午后的小憩……嘛？,42568,2131,1729,1,73,35,7,0,https://www.bilibili.com/read/cv31945697
31360905,[EVA]哀婉,77801,1961,1229,0,20,67,17,0,https://www.bilibili.com/read/cv31360905
31221583,【流萤x星】你的小女友做好蛋糕在家等你 快回去吧！,26929,1958,1309,0,54,35,23,0,https://www.bilibili.com/read/cv31221583
31360885,【崩坏三同人文】来自幽兰黛尔的压迫感？！《与女武神们的后宫日常》9,32515,1672,1208,0,18,24,21,0,https://www.bilibili.com/read/cv31360885
31559199,[病娇/原创]感觉到危机感的高冷母亲出手了（续）,59750,1566,773,0,147,40,44,0,https://www.bilibili.com/read/cv31559199
31312377,【崩坏三桃文】喝醉的希儿想让正太舰长堕落鸭～,27035,1566,1004,0,29,21,21,0,https://www.bilibili.com/read/cv31312377
31205169,【崩坏/病娇】救命，养了这么多年的琪猫猫变病娇了怎么办（6）,27682,1536,815,0,29,4,16,0,https://www.bilibili.com/read/cv31205169
31312260,【崩坏三桃文】当女武神误会我有了外遇（双希）,24101,1532,974,0,17,8,31,0,https://www.bilibili.com/read/cv31312260
31656006,【崩铁\私设】喵糖玛奇朵（流萤）,51159,1520,988,0,67,31,13,0,https://www.bilibili.com/read/cv31656006
31570119,被开拓者拒绝的希儿，和布洛妮娅一起把开拓者按在床上**了一整天（喜）,48190,1469,818,0,31,18,16,0,https://www.bilibili.com/read/cv31570119
31732376,斥罪：“博士，我判你有妻徒刑一辈子，并且上交全部余粮”,23406,1411,832,0,15,5,8,0,https://www.bilibili.com/read/cv31732376
31261349,我琪亚娜就是饿死，从这里跳下去，也不会喜欢上舰长的！（18）【崩坏同人】,57814,1403,1048,0,30,11,51,0,https://www.bilibili.com/read/cv31261349
31747124,【崩坏三】假如情债缠身的屑萝莉舰长和前来讨债的女武神们都穿越回了过去,37906,1346,792,0,59,6,17,0,https://www.bilibili.com/read/cv31747124
31193713,古恩希尔德家族给予空的特殊礼物,122951,1236,1081,0,25,21,9,0,https://www.bilibili.com/read/cv31193713
31366940,【病娇】嘘，别说话，我终究会找到你,37747,1126,645,1,30,11,11,0,https://www.bilibili.com/read/cv31366940
31488822,当舰长因为宿舍维修，不得不与她们住在一起（布洛妮娅）,21063,1108,749,0,42,1,17,0,https://www.bilibili.com/read/cv31488822
31263564,【休伯利安小故事202】其实我什么都知道,30825,1090,928,0,59,12,61,0,https://www.bilibili.com/read/cv31263564
31993757,［明日方舟］离谱博士——凯博的异世界奇妙冒险（1）,50645,1087,708,0,1,19,0,0,https://www.bilibili.com/read/cv31993757
31561064,【明日方舟/霍尔海雅/糖】霍尔海雅抓住了准备前往莱茵生命的博士并准备对博士进行……,22475,1056,644,0,22,12,8,0,https://www.bilibili.com/read/cv31561064
31220403,【碧蓝档案/空崎日奈/momotalk】洪都拉斯.雪莉,21755,1042,942,0,22,43,18,0,https://www.bilibili.com/read/cv31220403
31186526,【原神现世】大学的生活,67540,1041,695,0,37,6,14,0,https://www.bilibili.com/read/cv31186526
31213829,【碧蓝航线】春节是不是涩涩的节日？,41141,1040,874,0,48,17,15,0,https://www.bilibili.com/read/cv31213829
