用户名,性别,点赞数,内容
-晶体管-,女,852,一直小声说话还以为是伏笔，最后会来个男娘反转啥的[笑哭]
铃木一骑,男,311,猜你想搜，测不准的阿波连同学[doge]
巾丰,保密,108,这个表情◝(⑅•◇•⑅)◜哈哈哈哈哈哈
全职梅普露,保密,68,我要是男主她早就生几十个孩子了[doge][doge]
Iris_Rrm,男,57,这好在是在日本，要是在美国，等她背吉他盒来你们就知道了
稍适小寐,保密,40,太可爱了[喜欢]
抱走萝莉123,保密,32,告诉我她是女孩子，哪怕是骗我的也好[微笑]
能量式,保密,36,"神秘码呢？
我要看后续[doge]"
超级咖喱大魔王,男,22,请各位不要像蛆一样的在床上扭来扭去[doge]
Angel-Can,保密,18,"明天你是否会想起
昨天你写的日记
明天你是否还惦记
曾经最爱哭的你
[脱单doge]"
李延珠,男,9,"为什么没有后续😭
我要看后续👊😭👊"
这里是Gaster哟,男,8,当年高中时候也有一位和漫画里很像的女同学，但学习的压力还是盖过了一切，现在想想也只是很有意思的回忆了(✘_✘)
友人さん,男,7,嘶……测不准？这种女孩子我也是好想抱走吃干抹净口牙！[歪嘴]
科科幻幻的草,男,6,那她玩三国杀被人坑了会气哭吗✿ヽ(°▽°)ノ✿
月球畜牲,男,5,七谷闻言，吃了一惊，手中所执匙箸，不觉落于地下。
咕噜噜Shiro,保密,4,令人感慨，初中时旁边也有这样的一个女孩子。原来我也是有这样美好的回忆的。
疾走のヤシ,男,4,没有不也活着？🍋
Sakura丶散华,保密,2,怎么有一种擅长捉……弄人的高木同学的感觉[doge]
枫巡今天吃土了吗,保密,2,先天古河渚圣体
色孽神选卢修斯,保密,2,当我帮助了同桌的安静孩子后他告诉我明天别来学校.jpg
nikukawa,保密,263,病入膏肓了你是
猪翔一刀斩,保密,209,被男娘害惨了
高血压脑病,保密,217,你这辈子就是被男娘给害了
终末の歌,保密,37,你这辈子就是……
Dai_Wei,保密,32,对于这种家伙，最好的治疗方法是让他去感受一下猛男的♂荷尔蒙[滑稽][滑稽]
坎骑骑士,保密,22,早就说不要看太多，都出现幻觉了吧
うちは・サスケ,男,4,我也……
你___去祭典了吧,保密,5,我也以为是男娘[笑哭]
原-阿基米德,男,5,我第一眼也以为是男娘[酸了]
炸天帮吉良吉影,男,6,你这辈子就是被男娘给害了
了夕668,保密,5,"那叫女人
那你怎么没有胸"
DearAyanami,男,2,你完蛋了已经[辣眼睛]
白の吹雪,男,0,难绷
鬼白幽,保密,3,你是真饿了
贪吃的羔羊,女,1,你这辈子就是被男娘给害了
冯_爱因兹贝伦,男,1,你这辈子就是被男娘给害了
辭怵蓧人,男,0,……大开眼界了属于是
1火花,保密,1,你这辈子就是被男娘给害了[doge]
中猛独の迷子,男,5,绝症晚期了属于是[辣眼睛]
清晨日夜,保密,0,南梁的结局是？
星羽梓喵,保密,1,你这辈子就是被男娘害了
知实,男,1,还在男娘还在男娘😡
sensei就是hina厨,男,1,你这辈子就是被男娘给害了
可莱姆,女,0,[懒懒兔_惊讶][懒懒兔_惊讶][懒懒兔_惊讶]
神神秘卡密,保密,0,这下带感了[呲牙]
三价铜离子,保密,1,满意离开
熠亦初,保密,1,你这辈子就是被男娘给害了
名字违规被改哩,保密,1,被男娘害惨了
Asiclim,男,1,你这辈子就是被男娘给害了
出入平安福驴,保密,1,早知不是就不那么早脱裤子了 害
48V幻象电源,男,1,回复 @了夕668 :你，我阿↘~米诺↗斯
鲨鱼不会用铅笔,保密,0,你就是被男娘害惨了
18海20国,保密,1,NTMD，还给我的幻想[大哭]
达拉加布,保密,1,完了，我也被男娘给害了[辣眼睛]
章鱼の丸籽,保密,0,你这辈子就是被男娘给害了[doge]
绿蕉牌口香糖,男,0,不要男娘😡😡
莉莉娅Official,女,0,[海虎表情包_想象力]
柠檬味夹心棉花糖,保密,0,你就是被男娘害的
花羽彩加,保密,0,意满离()
这只鲲鲲值六个硬币,保密,0,你这辈子就是被男娘给害了.jpg[doge]
雾幻天神,男,1,山东分数线加十分
Yi邪心,保密,1,你这辈子就是……啊我也是那没事了
alo-kina,保密,0,是男娘害了你！
呃呃呃哦哦啊啊啊_,男,0,你这辈子就是被男娘给害了
Niko_rong,男,0,病入膏肓了你
六份的商鞅,男,2,你这辈子就这样了，跟男娘过去吧你👊😡👊
Portal_d3p2,保密,0,还真是
來拍個照,保密,0,你这辈子就是被男娘害了
惜夜-,保密,0,你这辈子就是被男娘给害了
洒狗,男,0,病态的男娘文化
通辽帝国丞相,保密,0,这辈子是被男娘害了
律尽量不摆烂,保密,0,这辈子真是给男娘害死了
卖火柴的雪风,男,0,[笑哭][笑哭][笑哭][笑哭][笑哭]
彼岸九重,保密,0,你这辈子就是被男娘给害了
富收之,保密,0,呃呃
Aluca_,男,1,[辣眼睛]
席小天丶,保密,0,你有问题！！！
免礼金身,男,1,就要男娘就要男娘
斯奈德的妻子,保密,0,但是你反过来想一下，主角是个男装女生呢？啊~太美好了
咲夜用脚帮我打脚,男,0,你这辈子就是被男娘害了.jpg
润已,男,0,我🦈了你
夜半战戈,保密,0,好好好
盐之有锂,男,0,好好好
暗狼来啦,保密,0,好好好
魚悲,女,0,好好好
苹果汁X,男,0,好好好
泷奈_takina,保密,0,好好好
擅长捉弄的59同学,保密,1,好好好
黄金回旋の魔法少女,男,0,好好好
以-太李,保密,0,满意离去
谷启夏,男,4,阿波连是布朗运动的泥头车，和小动物还是有一点区别的
某些个人,保密,0,好好好
DawnWX_风兮,保密,0,意满离
无所事事鸭,保密,2,[测不准的阿波连同学_ok][测不准的阿波连同学_ok][测不准的阿波连同学_ok]
胡扯皮,男,0,好好好
nanashi_-,保密,0,和阿波连还是不一样的
草莓味のDIO,保密,0,[测不准的阿波连同学_开心][测不准的阿波连同学_开心]
ib好,保密,0,好好好
咲夜用脚帮我打脚,男,0,好好好
laoEA,男,7,她好像神奇宝贝里的单卵细胞球哈哈哈哈
青空岚空,男,2,莫名想到此花亭
巾丰,保密,2,回复 @青空岚空 :你也看过这个老番[神乐七奈_好耶]
废人の摆烂日记,男,1,回复 @巾丰 :啊？已经算是老番了吗？
蠢货丶月,保密,1,麻雀系女生是这样的
慎予,男,26,这种剧情，我就怕女主和团子大家族里的绪一样，身体经不住[tv_笑哭]
胤回,保密,20,回复 @慎予 :古 河 渚😡生气
慎予,男,1,回复 @胤回 :太久了记错了[喜极而泣]
CL冈崎汐,保密,2,回复 @胤回 :明明是 冈 崎 渚！（指婚后）
Aluca_,男,0,大家其实都是这么想 但是呢
令岺,保密,0,回复 @Aluca_ :碰不到，碰到了也不敢a上去
免礼金身,男,0,遭不住
清香的鲱鱼罐头,男,27,“昨天下午我帮同桌捡了一块橡皮，上面写着，明天不要来学校。”学校里唯一的幸存者接受采访时说到。
暮家翼子,女,3,她也没被欺负啊，不至于吧
E-卡通魔理沙,保密,0,哈哈哈哈哈
Orcus-Lucas,女,1,"“谢谢你，Jack，明天…请不要来学校”

Later……

*队友击杀+50+50+50…*"
谢花生173,男,0,吉他盒里面藏AK是吧？[doge]
乌绀鴉酱,保密,15,你这辈子就是被男娘给害了
星羽梓喵,保密,7,这就是女孩子，你是被男娘给害了
極樂烏,男,30,你这辈子是被加里奥祸害了，这玩意是拿车牌号看的吗？
極樂烏,男,2,[妙啊]
蓝色警亭里的时间疯子,女,13,回复 @極樂烏 :jm又不是只有涩涩[笑哭]，也有漫画搬运
润乐坊,保密,0,回复 @蓝色警亭里的时间疯子 :求不搬运有码……[笑哭]
伽蓝寺下雨纷纷,保密,0,回复 @極樂烏 :JM还有游戏设定集和人体绘画教程呢，主打一个有啥搬啥[呲牙]
辭怵蓧人,男,3,"我没，我没有……我没哈哈哈哈
请把我身上的摄像头拆了"
乐了_,保密,0,我去，脑子里自动播放《同桌的你》了
咲夜用脚帮我打脚,男,0,"多少人曾爱慕你年轻时的容颜
可谁又能禁住岁月无情的变迁
多少人曾在你生命中来了又还
可这一生有你我都会在你身边[脱单doge]"
星羽梓喵,保密,0,我怕女方身体遭不住[doge]
红糖狂魔,男,1,我超，蒸
苏宝我的超人,保密,1,七谷：一震之威，乃至于此[妙啊]
清香的鲱鱼罐头,男,2,没事，你也可以参加人家婚礼，然后继续坐同一桌[脱单doge]
一佐藤-和真一,保密,1,回复 @清香的鲱鱼罐头 :真坏啊你[doge]
天宫洁羽,男,2,代入男主她就是我的了
lurenmouz,男,1,容易受精的女生[给心心][给心心][给心心]
-黎小弟-,保密,1,太长不看，翻到后面竟然不是男娘，那太不真实了，没意思
I时崎I狂三I,男,1,你们二次元都是这样的？[doge]
浴火-涅槃,男,0,我竟然在认真地找数字[辣眼睛]
老咸鱼小白船,保密,0,可爱到头飞（）
生命誓言-3,男,0,科幻片
古典文学部的折木,男,0,科幻大片
绝灭忆梦,男,0,糖分高的科幻作品
Gustav-_-Mahler,保密,0,豆沙勒@[墨镜][墨镜][墨镜][墨镜][墨镜][阴险][阴险][阴险][阴险]
安樂椅busi,保密,0,超级可爱⚈₃⚈
毛茸茸的毛绒熊,女,0,科幻片
格里芬厨子,男,0,臣乃武夫，不善言辞
火焰伏特,男,0,[海虎表情包_喜欢到极呀]
名为理想国の大炼金者,男,0,科幻
薛定谔的小锅,男,0,那么在哪里可以看到呢
无所事事鸭,保密,0,测不准的七谷同学[测不准的阿波连同学_ok]
蓬莱辉夜姬neet,保密,0,"我以为最后会突然出现个转学生给ntr了
像彼女留学生那样"
真树怜,保密,0,女主角属于是什么属性啊[粉红兔子_真诚]
尼赛莫诺official,保密,0,看到掉筷子还在想是不是要来一个青梅煮酒
迷boxes,保密,0,[微笑][微笑][微笑]
82465q,男,0,就好这口[doge]
ななくさ雪奈,保密,0,"女主：「我…喜歡吃…豆腐..」
我：「真巧，我也是」[doge]"
冷面狂怒,男,0,唔……好可爱的妹子，我怎会……怎会如此心动了[海虎表情包_喜欢到极呀]
甜甜沙耶酱,保密,0,快点动画化，然后声优选小原好美
白易流弊咯,保密,0,这形象有点像那个被霸凌的盲人女孩，也是零散短篇，出生作者
寒云之亦,男,0,我小学也有一个比较安静的同桌，甚至我妈的关系和tmd关系都很好(不是亲戚，不是同事，只是单纯的家长)，但是我和他的关系很不好，以我以前对他的关系，勉强算得上是霸凌[笑哭]
时间终会消磨一切,保密,0,男娘
洛唯娅YuiA,女,0,男主也是一副大惊小怪的
Niko_rong,男,0,"(\___/)
(●-●
/&gt;👍👍"
微少年,男,0,要买怎样的枕头才能做这样的梦😭😭😭
但凡比E未尝败绩,男,0,我要看后续😭
尹哥Y,男,0,没想到是你小子，你小子在微信也有号
云仙-梦,男,0,真好啊[Cat2_Nyampage]
Lev1athan_,保密,0,我班上也有个这样的，挺可爱的一孩子哈哈哈哈哈，跟她搭话都会把她吓一跳[笑哭]
泱岫,保密,0,为什么不是男娘😭
着火的黑猫,保密,0,让我想想后续，在男主的不断搭话下越来越外向大胆，然后鼓起勇气向男主表白了，男主顺势同意，然后第二天准备一起上学的时候，男主在女主前面被一辆失控了的大货车直接创死内脏脑浆都出来的那种，然后女主跪在一旁不断说着“骗人的吧，别死”之类的话一边把男主的内脏塞回体内，后面的就大伙继续自行脑补吧[doge]
朴雨淡茶,男,0,好可爱呀
介中之石,男,0,第一眼我还以为是啊角煮煮老师
other238,男,0,回去好好学习，跨不了step也是白搭[tv_无奈]
EuodiaOvO,女,0,可爱捏[Cat2_FallInto!]
极速榛子,保密,0,你们两个快点给我交往啊 jpg
超级无敌暴战士龙,男,0,是什么把你变成这样的 😨
权-启,男,0,坏人
_云之影_,保密,0,😨😨😨😨😨😨😨😨😨😨
姓文名十,男,0,高中也遇到了像这样的女孩子，性格和外貌都很像，可惜我不是那个男主[OK][OK]
绝代风后,男,0,很会包扎伤口，被搭话会被吓，对伤口很在意，这孩子不会遭受家暴或者别的什么暴力吧。
晓霖フフ,保密,0,最终幻想20啥时候出的？(ﾟДﾟ≡ﾟдﾟ)!?
给我十万元我就变灵梦！,女,0,好甜
毕方兆火,男,0,好可爱，感觉会变成下一个表情包来源（
那我营养这一块谁补啊,保密,0,男主怎么忍得住的😡
抱头的蕾米莉亚斯卡特,保密,0,看个女的总以为是个男娘
1dnw,男,0,看来很多人都吃这套[doge]我也喜欢，爽
不正经的小正太郎,保密,0,这么小声还想开军舰
冷月の低语,保密,0,[doge]是美女才在意
阿淩acrydust,保密,0,我进错软件了吗？哦哦。原来这才是应有的模样啊
producerY,男,0,是小动物
PVZ绿胖子,男,0,呱！纯爱呀！（蹲JM）
草本喵里没有汪,保密,0,在？动画化谢谢[脱单doge]
X__O__X,保密,0,已经在阴暗的爬行和扭曲了
2hjy,男,0,爆改牛头人，谢谢，这个太甜吃不下
辭怵蓧人,男,0,嗯，爱了
鬼白幽,保密,0,[doge]
fake8864,保密,0,萌死。。。🤤
HEV六代防护服,男,0,真好啊
捏捏欧米团子,男,0,天哪，简直就是我
爱莉一直在这里,女,0,真的好可爱啊，我的心都要融化了٩(๛ ˘ ³˘)۶❤
蓬蒿闲人,保密,0,好看
华山系,保密,0,好可爱
废宅欧鳇,男,0,[海虎表情包_姦]
是滔仔不是涛仔,保密,0,软软的 像小兔子一样
up主必须和谐,保密,0,n了[妙啊]
废黄书,保密,0,好想看后续www
飞机票子乙肝,男,0,一之濑！是我想的那个吗？
寻找道路的羔羊,保密,0,直接给你整个NTR剧情
唤火者,男,0,仓鼠转世是吧
尤茶酱,保密,0,我还以为最后要得绝症
Sang_Shi,男,0,快滚去开房啦[捂眼]
laoEA,男,0,[doge]
豌豆豆豆荚_zr,女,0,给我看后续😭👊🏻给我看后续😭👊🏻给我看后续😭👊🏻给我看后续😭👊🏻给我看后续😭👊🏻给我看后续😭👊🏻给我看后续😭👊🏻给我看后续😭👊🏻给我看后续😭👊🏻给我看后续😭👊🏻
白极哲学家,男,0,作者有无水下作品
是滔仔不是涛仔,保密,0,回复 @白极哲学家 :不到啊
