用户名,性别,点赞数,内容
飘浮木不是猫头木,男,1208,不是你跟我说这是个35岁的阿姨，保养的真好啊，该说不愧是二次元[tv_doge]
想吃胖的章鱼丸,保密,514,三十如狼四十如虎 两个人都在最好的年纪遇到了最猛的自己[吃瓜]
銱阗鍀難給婄酯鞲仫,男,281,祁同伟是吧[呲牙]
八十八岁扶墙冲浪,男,222,这个让我想起之前看的一个本子，也是男主小时候找女老师告白，说什么长大后娶她的话，结果真长大后，反而是女老师缠着男主，男主有女朋友嫌就她太烦了，希望能保持距离，最后被幻想破灭的老师狠狠的调教力[星星眼]
小爪子真的有四个,男,103,👮：好了 还有什么要说的吗
史王sama,男,56,妈的，刚开始看到别人推的时候，我还以为是本
红桃皇后假说,男,26,第五页的正直应该不是取“正直”的意思，而是“说实话、我直说了”这样的意思[脱单doge]
独倚灵剑醉小楼,保密,25,紧跟时事
海味真姬琉璃绅社,男,21,上班前看到，感觉身心受到了一点治愈。
Virginiap,男,17,"诶,18岁的小伙子很难有这样的边界感，不会让双方难堪的成熟告白往往是吃过很多苦头才能做得出来的呀"
小鸟四方游,男,13,紧跟时事，沪上阿姨
VIP包间两位,保密,11,现在看到这剧情就会不由自主地想到上海那老师[藏狐]
Yukiri_Ozi,女,10,等等，那是辆supra吧
在学习的小波奇,保密,7,放现实这种事情很糟糕[吃瓜]
夏织走了,男,6,我初中的校长的老婆就是他第一届学生，毕业后回来找他结婚[妙啊]
吃我一勺冰西瓜,男,6,这是化学老师吧？
Ak47般简单,保密,5,纯爱真好啊，我这个阴暗哥布林看完可以无憾死去了😄
清煕宿叶,保密,5,我看老师也是风韵犹存。
ccc锐,保密,5,他还是一个孩子啊！
赤城天下第一,男,4,大17也就二次元能做到了，大7岁还差不多，也许35保养好点还不显老，再过10年，男28女45走出去说母子都不夸张[笑哭]
安徒生反光_weiweiwei,男,49,当老师还老的更快呢
林斯羽,保密,163,回复 @安徒生反光_weiweiwei :大学毕业一年没见当老师的同学，已经变成教导主任的模样了
游戏菜寂,保密,4,有一说一，不是不可能
香蕉皮74110,男,40,毕竟二次元人均超长保质期，隔壁游戏里还有实际年龄奔四看着却像个二十出头美少女的阿姨呢[doge]
虚空之子战团萨玛哒,男,6,回复 @游戏菜寂 :现实里好像还真有，妈妈比女儿看起来年轻的[doge]
Forest_N,保密,5,有一说一真的有，我们初中的化学老师三十多了刚来我们班的时候我们以为是转班生[脸红]
懒得想名字------,男,1,回复 @安徒生反光_weiweiwei :其实英语老师普遍保养不错吧
将军来我壶里玩吧,保密,4,回复 @安徒生反光_weiweiwei :其实那些老师是故意的，你看就像之前那个新闻漂亮老师和学生...[模糊小黄豆_哈？]
了可一2号,男,2,现代35岁感觉不算老，现代普遍都大龄晚婚晚育。吃得好睡得好衰老的也慢，平均都能活到80—90左右
長門窜希,男,4,回复 @了可一2号 :358090搜不到啊
一个路人23,男,0,二次元还有更离谱的，但现实中35好像也也没老的很离谱
无内鬼来点嗨丝,保密,2,"不当班主任还好
班主任职务=衰老加速器，尤其是对女老师而言"
自在r_,保密,1,我高中的英语老师看起来跟刚毕业大学生一样，结果人家娃都上初中了[微笑]而且还很照顾我[藏狐]
雷蒙只抽黛烟,保密,0,有的老师二十岁就秃头了
烧鸡烤鸭,保密,0,真见过保养的巨好的，85年像个20多岁，听到的时候吓了一跳
了可一2号,男,0,回复 @長門窜希 :[捂脸]这不是车牌号，而且是个正经漫画。
Petrushka,保密,0,回复 @長門窜希 :逆天[捂脸][捂脸][捂脸]
游戏菜寂,保密,0,回复 @虚空之子战团萨玛哒 :贾玲现在就三十多快四十了，这一减下肥来显得也很年轻
魂魄--妖梦,男,0,回复 @長門窜希 :你这辈子就是被jm害了
西行寺悠悠子,保密,0,其实还好吧，我初高中时候我妈给我开家长会被当成姐姐[蔚蓝档案表情包_不是我]
方生方知方死,男,0,三十五岁我觉得不算很大年纪吧[辣眼睛]，当然你年纪小的话没办法。
天哥鲨疯辣,男,0,二十多岁的老师看着都像三十多[笑哭]
离原_Vink,保密,0,"现实有钱保养也不是不行，但普通老师大概是反过来的。
我印象最深刻的是我的初中语文老师，初一时她是刚毕业的大学生，我看着像大姐姐。
初二被调去其他地方，初三又回来教我们。
再看到她时，像看我妈。气色和脸色差了不止一点[笑哭]"
龙忽三拳,女,0,回复 @林斯羽 :打扮成那个样子而已，不然学生不怕你
Nair_Luna,保密,0,一想到我二姨当老师的，五十来岁头发全白了，连呼吸都有点觉得沉重了
马力全开小胖纸,男,0,回复 @長門窜希 :哈哈哈哈哈 这是正经的
HT_workshop,保密,1,回复 @安徒生反光_weiweiwei :我老妈小学班主任，前天开学第一天直接嗓子喊哑了然后被迫请了三天假[辣眼睛]
起昵称累死我,保密,0,难道就没人在意18岁的学生长的这么成熟么[思考]
夜响_Hbiki,男,0,其实保养的好的话问题真不大，我妈就是，跟我一起出门还被人以为是我同龄朋友，我是大学生[笑哭]
啦啦啦1234593455,保密,1,回复 @安徒生反光_weiweiwei :当老师挺轻松的，怎么会老的快？一些老师说辛苦只是矫情罢了，压根没进过社会，什么都不懂[大笑]
安徒生反光_weiweiwei,男,0,"回复 @啦啦啦1234593455 :分人。有的老师教学压力轻，和学生其乐融融，心态也年轻。我以前上中专的。我们老师是我们中专最吊的老师（当然大专老师最吊也就那样）说是当年和学生关系很好打成一片。
然后我是一个专转本的班。是我们学校第一次办。等于这带这个班的艰巨任务落到他头上了。一起三年他都绷着，很严肃，看得出来压力也很大。就第三年（转本都是提前考的）该考的差不多考完了，他开始绷不住了。人也轻松了。那个精神状态感觉都好了许多。
隔壁班班主任教英语的，就是个傻x，他倒是也不见老。可能因为傻x"
知道真相的开车司机,保密,52,我看老师也是风韵犹存
赫莱茵-hlscc,保密,33,回复 @知道真相的开车司机 :我看你是真饿了
顾允明,保密,44,回复 @赫莱茵-hlscc :我看你是真撑了
虚弱哥布林大王,男,170,30402搜不到啊
想吃胖的章鱼丸,保密,9,回复 @虚弱哥布林大王 :啊？
爱吃pocky的能天使,保密,2,回复 @虚弱哥布林大王 :6
汐和渚永远在一起,保密,61,回复 @虚弱哥布林大王 :这位才是真饿了
也该改名了,保密,6,回复 @虚弱哥布林大王 :这位某禁的道友，我劝你冷静[doge]
Dr-赤鳶,男,0,回复 @虚弱哥布林大王 :看jm只会害了你[傲娇]
巴卡那姥爷,男,0,回复 @虚弱哥布林大王 :油盐不进啊你
来自迦勒底的非酋,保密,0,回复 @虚弱哥布林大王 :114514搜去吧慢慢看
体弱多病冲田姬,保密,1,回复 @赫莱茵-hlscc :你是真撑啊
樱花影月,女,0,回复 @虚弱哥布林大王 :啊！
下雨晴天,男,0,回复 @赫莱茵-hlscc :这个还饿那可能要饿死了[保卫萝卜_哭哭]
早早的GO星怒,男,0,回复 @虚弱哥布林大王 :你是真饿了
莱贝尔-布鲁姆,男,0,回复 @来自迦勒底的非酋 :这个本儿画风还不错
_游皓贤_,男,1,回复 @虚弱哥布林大王 :给我气乐了
梦桀狐,男,3,回复 @虚弱哥布林大王 :符合名字
先停止思考,保密,2,回复 @虚弱哥布林大王 :给我气笑了
趴趴趴秋莉,保密,1,回复 @虚弱哥布林大王 :笑死我了[大笑]你真的太搞笑了
苇名一刀流玫剑圣,保密,0,回复 @虚弱哥布林大王 :兄弟你是真饿了
奈芙莲酱,保密,0,回复 @虚弱哥布林大王 :笑死我了
想带妳去吹吹風,男,0,回复 @虚弱哥布林大王 :啊  怎么还急眼了啊  什么都拿来搜是吧
斗笠包浆猫猫倒立,保密,0,请审题[脱单doge]304021
SliverO,男,0,确实是双方xy都最强的时候
晴後的微笑,保密,0,回复 @虚弱哥布林大王 :你是真饿了
SwingMous,保密,1,回复 @虚弱哥布林大王 :[笑哭][笑哭]神奇，你是怎么拥有轻而易举就让我笑嘻的能力的
牢二布莱恩特,保密,0,回复 @虚弱哥布林大王 :符合id
用户34892,女,0,回复 @虚弱哥布林大王 :笑死我了
千层饼名厨,保密,13,已经在绐好哥们儿叫泥头车了是吧[doge]
沉默の患者,保密,19,回复 @千层饼名厨 :快进到“这个世界上没有人能审判我”
千层饼名厨,保密,1,回复 @沉默の患者 :进步的同时进老师[呲牙]
面壁者_章北海,保密,13,老师啊，我太想进部了
复活的雷尔,男,1,胜天半子
花果山窜天猴,男,0,回复 @面壁者_章北海 :你看，又急
我是月宅,保密,0,乐了
理塘最玊传说,保密,2,马克龙
旗手久候,保密,0,回复 @面壁者_章北海 :照你这个尊师重道法应该不好进步
守护灬任帝,保密,1,有名字或者jm号吗？
守护灬任帝,保密,0,谢谢
悲伤猴猴,男,1,@本子魔法使
又是无聊无聊的一天,保密,1,请务必做我的英雄[喜欢]
bgss_oot,男,0,[脱单doge]等个英雄
口日日目目目,保密,0,cy
潆映棠,保密,22,男主心里还是喜欢老师的，只是嘴硬，女朋友长的也有老师的影子
