用户名,性别,个性签名,评论时间,点赞数,内容
AcmeCorp,保密,,2024-02-22 11:48:16,1218,"这期似乎跳了一个神秘狙/小春的复刻池子，加上合并一个蓝兔池子，加速了21天，补偿的水还变少了。
按照这个加速情况，怕不是年底直接出Mika了……"
风与鸟的诗篇,保密,我看不穿你的心意，越是期盼越是痛苦。,2024-02-22 12:08:45,1022,小春复刻池直接跳，总所周知，按之前说的加速的就要补十连卷，按照沙勒独特不等式跳过不等于加速，秒了所以可以不用给劵
内鬼壶,保密,,2024-02-22 11:02:44,680,兔女郎总算来了，虽然没有贴卡池宣传图（原因都懂），但起码平稳落地了[笑哭]
望雨念,保密,三玖天下第一,2024-02-22 11:56:50,259,三森池和忧池中间不应该还有小春跟晴奈的复刻池么[妙啊]
我永远喜欢CC呀,保密,贵站的贵物沈河,2024-02-22 11:03:14,281,盲猜兔女郎过后初音，忧，保洁，斯大萝复刻兔女郎。石头最经不住折腾的一集😩😩
不知名的翻滚里表情人,男,这家伙很懒，只想把你留下。,2024-02-22 11:13:36,133,我初音呢，运营你等着我~
Zlri_97,男,,2024-02-22 11:44:45,146,三兔合池，太棒了，不用放弃明日奈了[打call]
星屑Link,男,Dreams are well but waking＇s better.,2024-02-22 12:08:35,169,把忧幻视成枫糖总帅了[笑哭]
听有人敲门,保密,,2024-02-22 11:14:37,74,余钻不够两井的有难了。另外，之后的初音池该不会要无缝衔接吧？[点赞]
奇迹伴着我幸运,保密,"""这里的天，太冷了，需要一些能够带来温暖的故事，而不是冰冷无情的现实……或许，这就是故事本身存在的意义。""",2024-02-22 12:04:13,70,我大胆猜一下，兔女郎之后会是小春晴奈复刻池，然后很可能就是初音池了
LakeSO,保密,,2024-02-22 11:24:05,43,国服有初音联动嘛，什么时候
冈丶崎汐,女,(づ｡◕ ౩ ◕｡)づ靠脸吃饭,2024-02-22 11:14:38,130,本来活动中是有7天长草期的，为了给兔女郎活动留时间吞掉了，但是也补了一张10连也还可以理解吧，但还是建议把以后到底加不加速和大伙说清楚
怪怪的怪兽啊,保密,,2024-02-22 11:05:07,44,初音竟然还没来[大哭]
关耳天马,保密,音游狗，方舟の博士，温蒂单推人，泰拉人，什么都好奇的……,2024-02-22 11:33:25,13,忧宝我来了！
Hiiroli,男,"貌似只在这里活跃。
啊对了，hiiroli是hiiro酱和loli的魔改昵称。因为hiiro2.0太刑了。",2024-02-22 11:24:50,13,嘶哈嘶哈！忧前辈！！🥵🥵
KafuuCocoa丶,男,,2024-02-22 11:10:28,70,"现在确实是正常时间的池子无助力十连，兔女郎三合一了就有；
看得出来现在准备在资源方面变得大方些了，不错。"
是加油啊啊啊,男,摆烂中开卷！,2024-02-22 11:00:55,7,终于等到你
東雲なの丶,保密,哥我错了，我不该在网络上口嗨的，我就一下水道老鼠人，求求你别查下水道鼠鼠的成分了。你大人有大量，求求你别开我盒。,2024-02-22 11:03:22,27,其他没细看，但合成改挺快啊，先给个好评吧，剩下的细看再说
薛定谔的单推人_official,男,被观测时处于单推状态，未被观测时便处于DD状态，以此称之为，薛定谔的单推人,2024-02-22 11:00:57,3,终于来了啊
那种感觉1940,保密,,2024-02-22 11:01:15,0,笔记！我的笔记！终于来了！
